date,close,high,low,open,volume,adl,atr,middle_band_bll,upper_band_bll,lower_band_bll,cmf,co,cmo,cci,dpo,+di,-di,dx,adx,adxr,dema,emv,emv_ma,upper_band_env,lower_band_env,rl_0.0,rl_23.6,rl_38.2,rl_50.0,rl_61.8,rl_100.0,fosc,tenkan_sen,kijun_sen,senkou_a,senkou_b,imi,ko,lri,lrs,mfi,mi,mp,mom,ma-simple,ma-exponential,ma-time_series,ma-triangular,ma-variable,macd,signal_line,nvi,obv,sar,prf,target_LONG,pvi,pvt,highest_high,lowest_low,posc,prc,upper_band,lower_band,posc,trigger_line,qstick,ri,rmi,rsi,rvi,sd,smi,%K,%D,%K,%D,swi,tsf,tema,tp,uosc,vhf,vch,vosc,vrc,wc,ws,wad,wr
2014-02-10,29.991378784179688,30.031026166909694,29.149087603302007,29.218404957232323,389354256,34579244372,1.0186,26.6296,30.968,22.2912,0.5505,636842575.4937,54.5686,144.6984,0.1227,30.0723,10.6667,47.634,47.2215,39.7007,29.8643,0.0,0.0,29.2925,23.9666,204.02,156.4598,127.037,103.2569,79.4768,2.4937,1.0682,28.2189,25.5252,21.6545,19.4989,76.8908,1933026977.8857,29.7515,0.3176,2.3e-09,26.0111,29.5901,116.5628,26.6296,26.8926,30.3421,23.8516,25.1562,1.8308,1.6439,1993.563,77945800176,26.986,10.1052,0.05,5570.5098,3767140936.9586,29.5859,26.986,12.8885,38.2195,30.2256,27.5009,91.4038,81.0989,0.2601,36.6939,97.9662,77.1743,81.5563,2.1692,77.2756,99.2025,97.0405,97.1092,92.3101,12.6416,30.0691,29.915,29.7238,69.9656,0.5934,36.0475,-32594173.2,-9.7179,29.7907,28.4939,0.8423,-1.302
2014-02-17,30.016063690185547,30.242471111407944,29.859224483154573,29.956719947183267,310712976,34522842710,0.9733,27.0428,31.0018,23.0838,0.4598,621028943.8067,46.8343,101.5557,0.1241,30.7782,10.3666,49.6091,47.392,40.4245,30.104,0.0,0.0,29.747,24.3385,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-0.1767,28.6142,25.6309,21.6545,19.4989,75.0612,2197146047.5693,30.0767,0.321,1.2e-09,26.0683,30.0508,113.609,27.0428,27.1901,30.4545,24.1035,25.407,1.8548,1.6861,1995.2039,78256513152,27.0469,10.1143,0.05,5570.5098,3767396674.4711,30.031,26.986,13.1166,42.1408,30.5362,27.8106,80.9166,81.0078,0.2346,68.3469,98.3377,77.2463,85.1555,1.9795,82.2329,95.2833,96.491,96.5524,94.2292,1.7974,30.3977,30.1085,30.0393,70.7323,0.7031,19.3549,-136453809.6,-30.803,30.0335,28.7983,0.1568,-6.9526
2014-02-24,30.311790466308594,30.641674098165428,30.048728885135407,30.055211351927646,346405248,34483804518,0.9484,27.4712,30.8562,24.0862,0.5995,545681311.225,92.86,90.3577,0.7633,32.3346,9.8782,53.1981,47.8067,41.3603,30.3651,0.0,0.0,30.2183,24.7241,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-0.2834,28.8138,25.8305,21.586,19.4989,77.0115,2462709507.8838,30.3507,0.3128,1.7e-09,26.0407,30.3452,113.626,27.4712,27.4874,30.4946,24.3769,25.6532,1.876,1.7241,1995.2039,78602918400,27.1747,10.2238,0.05,5625.392,3770809557.2622,30.2425,26.986,13.1019,38.208,30.84,28.143,80.4149,80.7114,0.3145,36.9103,98.4757,78.2062,88.1133,1.6925,83.1748,93.1755,95.8871,95.9198,96.5271,7.1448,30.6635,30.3503,30.3341,70.9694,0.3864,5.8541,-152141306.4,-7.709,30.3285,29.101,0.2957,-9.0239
2014-03-03,30.290346145629883,30.594548875135093,29.72557523362098,30.089872388680856,303336360,34574762172,0.9427,27.7248,31.1565,24.2931,0.4326,494190959.5121,79.3894,57.4143,1.2172,30.2057,11.6763,44.2421,47.5521,41.9233,30.4633,-0.0,0.0,30.4973,24.9523,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-1.2319,28.8138,25.8305,21.586,19.4989,75.7667,1961378544.0246,30.5869,0.3066,2.9e-09,26.0809,30.1601,114.5175,27.7248,27.7543,30.7977,24.6542,25.9351,1.8694,1.7532,1993.7923,78299582040,27.3827,10.2159,0.05,5625.392,3770594959.5074,30.6417,26.986,12.8521,36.636,31.111,28.4169,69.5388,75.1251,0.2861,18.4551,98.617,77.9541,70.4983,1.7158,81.0493,92.1662,93.5417,93.5715,95.3479,1.4966,30.8935,30.3958,30.2035,69.9358,0.8969,16.5507,-59842497.6,-61.2732,30.2252,29.3389,-0.3042,-13.9698
2014-03-10,29.24333953857422,30.36141019626381,29.236608111467806,30.31278694315326,380874744,34198446151,0.9558,27.9213,31.2259,24.6167,-0.0153,308463358.083,-5.7242,-97.9323,0.757,27.6665,14.349,31.6966,46.4196,42.1482,29.906,-0.0,0.0,30.7134,25.1291,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-5.6429,28.8138,25.8305,21.586,19.4989,64.5064,1517936277.9509,30.48,0.2619,3e-09,26.1548,29.799,106.5581,27.9213,27.8962,30.8222,24.9329,26.0063,1.7595,1.7544,1993.7923,77918707296,27.5783,9.8282,0.05,5430.9465,3757429762.533,30.6417,28.1268,12.3651,29.8624,31.2303,28.5666,25.406,50.2655,0.0774,10.1003,90.882,66.4763,57.6434,1.6523,56.202,67.2028,84.1815,84.6891,91.3935,-22.894,30.7419,29.6401,29.6138,67.7473,0.5286,33.0495,-4031164.8,-33.6175,29.5212,29.3198,-1.1181,-93.6853
2014-03-17,29.498672485351562,30.220529684082884,29.375743168934253,29.404170240775358,418908672,33901452675,0.9573,28.1158,31.3091,24.9225,-0.3851,109943837.1271,-29.9664,-72.3862,1.5493,25.6493,13.3028,31.6966,45.3679,42.4131,29.7266,-0.0,0.0,30.9273,25.3042,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-4.2145,28.8138,25.8305,21.4925,19.4989,67.1849,1345654942.9975,30.333,0.2058,2e-09,26.1714,29.7981,105.7797,28.1158,28.0488,30.87,25.2118,26.0668,1.6737,1.7383,1993.7923,78337615968,27.7621,9.9227,0.05,5478.3658,3761087388.0758,30.6417,29.1491,11.7573,34.9901,31.3654,28.6549,31.1298,40.6977,0.2048,15.1417,85.5762,67.7288,57.9256,1.5967,28.7997,73.0099,77.4596,77.72,85.3269,0.4609,30.5388,29.4733,29.6983,57.9586,0.6498,21.104,47844108.0,7.5906,29.6484,29.3555,0.2553,-81.3486
2014-03-24,27.930532455444336,29.545048704007584,27.48046186781192,29.52734592502676,563771664,33583480354,1.0364,28.2456,31.1764,25.3148,-0.4666,-82436599.6845,-65.4253,-164.1844,0.5116,21.9995,24.4724,5.3213,42.5075,41.8325,28.7503,-0.0,0.0,31.0701,25.421,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-9.3384,28.8138,25.8305,21.472,19.4989,50.1593,552145840.6998,29.8376,0.1243,3.7e-09,26.37,28.5128,101.371,28.2456,28.0375,30.5108,25.4888,26.0698,1.4623,1.6831,1993.7923,77773844304,30.6417,9.3421,0.05,5187.1376,3731117466.0569,30.6417,29.2366,10.5189,28.406,31.3749,27.4805,11.5559,26.1268,-0.1658,27.7797,65.4712,54.3417,47.9084,1.4654,-12.6463,25.8373,55.35,56.7844,73.0645,-37.7397,29.9619,28.3082,28.3187,45.5389,0.747,37.5048,88680830.4,81.4445,28.2216,29.0705,-1.6145,-85.7627
2014-03-31,27.164030075073242,29.30875551276977,27.126167222605673,28.18611233978636,435767624,33162831848,1.1182,28.3152,31.0684,25.562,-0.6282,-287486157.5907,-86.0414,-101.3251,0.2287,18.9325,23.3237,10.3919,40.2135,41.4787,27.7995,-0.0,0.0,31.1467,25.4837,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-10.2999,28.8839,25.8305,21.472,19.4989,42.8587,202799592.0474,29.1945,0.0333,5e-09,26.6466,28.2175,96.3926,28.3152,27.9543,30.008,25.7598,26.1204,1.2189,1.5902,1939.0764,77338076680,30.5784,9.0583,0.05,5187.1376,3719158620.6029,30.6417,27.4805,9.4789,24.9337,31.2674,27.1262,0.9135,13.5201,-0.2881,36.0932,48.4072,49.2167,39.3064,1.3766,-48.9949,4.8697,34.5723,36.5006,57.0017,-14.9181,29.2278,27.2929,27.8663,33.6377,0.8546,50.7126,79237831.2,25.7971,27.6907,28.6892,-2.1447,-98.9083
2014-04-07,26.790882110595703,28.307881989533303,26.43068804692587,27.141112065808716,338898000,32953988655,1.1725,28.3683,30.9561,25.7805,-0.758,-411685069.2714,-87.2656,-100.9388,0.138,16.7673,24.8934,19.5053,38.7343,41.6247,27.099,-0.0,0.0,31.2051,25.5314,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-9.0961,28.5362,26.1099,21.4328,19.4989,43.0161,-316942802.6974,28.4284,-0.0762,5.5e-09,26.3236,27.3693,93.3869,28.3683,27.8435,29.4038,26.0247,26.1533,0.9846,1.4691,1912.4396,76999178680,30.4404,8.9201,0.05,5187.1376,3714503232.6315,30.5945,27.1262,7.8668,6.2323,30.8393,26.4307,8.17,10.8451,-0.4285,31.9678,39.2386,46.8998,30.8867,1.2939,-66.4656,8.5537,13.0869,12.8684,35.3845,-7.185,28.3522,26.6586,27.1765,32.258,0.6752,19.7194,-40311328.8,11.7235,27.0801,28.3096,-1.517,-90.8364
2014-04-14,27.068872451782227,28.098142192258734,26.436165847508402,27.084815404666987,334718000,32874121802,1.2074,28.4007,30.9049,25.8965,-0.633,-450479980.0706,-67.0901,-74.165,0.5567,15.1188,22.4459,19.5053,37.3608,41.828,26.9079,-0.0,0.0,31.2407,25.5606,204.02,156.4598,127.037,103.2569,79.4768,2.4937,-4.741,28.5362,27.7357,22.746,20.5893,40.0214,-410231142.2514,27.8452,-0.1537,5e-09,26.1564,27.2672,96.5976,28.4007,27.7697,28.9184,26.2828,26.2084,0.8119,1.3377,1932.2836,77333896680,30.1998,9.023,0.05,5187.1376,3717976368.4035,30.3614,26.4307,6.4176,6.9339,30.3252,26.0175,24.4068,17.6259,-0.4379,65.9839,32.3094,48.8359,35.7636,1.2521,-69.9028,15.1552,9.5262,9.7403,19.7031,2.2723,27.6915,26.6679,27.2011,32.5131,0.8355,20.5956,-81604792.0,-12.1186,27.168,28.0614,0.6327,-83.1607
